n,d,p,loss_trend,CV_probability
250,30,200,0.0,1.0000000000000002
260,30,200,0.0,1.0000000000000002
270,30,200,0.0,1.0000000000000002
280,30,200,0.0,1.0000000000000002
290,30,200,0.0,1.0000000000000002
300,30,200,0.0,1.0000000000000002
310,30,200,0.0,1.0000000000000002
320,30,200,"tensor(5.3977e-05, dtype=torch.float64)",0.9600000000000003
330,30,200,"tensor(0.0002, dtype=torch.float64)",0.9200000000000003
340,30,200,"tensor(0.0007, dtype=torch.float64)",0.7600000000000001
350,30,200,"tensor(0.0030, dtype=torch.float64)",0.32
360,30,200,"tensor(0.0067, dtype=torch.float64)",0.08
370,30,200,"tensor(0.0058, dtype=torch.float64)",0.08
380,30,200,"tensor(0.0101, dtype=torch.float64)",0.0
390,30,200,"tensor(0.0122, dtype=torch.float64)",0.0
400,30,200,"tensor(0.0244, dtype=torch.float64)",0.0
