n,d,loss_trend,CV_probability
90,90,0.0,1.0000000000000002
180,90,tensor(0.0003),0.9000000000000002
270,90,tensor(0.0003),0.9000000000000002
360,90,tensor(0.0002),0.9000000000000002
450,90,0.0,1.0000000000000002
540,90,0.0,1.0000000000000002
630,90,0.0,1.0000000000000002
720,90,0.0,1.0000000000000002
810,90,0.0,1.0000000000000002
900,90,0.0,1.0000000000000002
990,90,0.0,1.0000000000000002
1080,90,0.0,1.0000000000000002
1170,90,0.0,1.0000000000000002
1260,90,0.0,1.0000000000000002
1350,90,0.0,1.0000000000000002
1440,90,0.0,1.0000000000000002
1530,90,0.0,1.0000000000000002
1620,90,0.0,1.0000000000000002
1710,90,0.0,1.0000000000000002
1800,90,0.0,1.0000000000000002
1890,90,tensor(0.0001),0.9000000000000002
1980,90,tensor(0.0029),0.2
2070,90,tensor(0.0050),0.05
2160,90,tensor(0.0065),0.05
2250,90,tensor(0.0113),0.0
