n,d,loss_trend,CV_probability
70,70,0.0,1.0000000000000002
140,70,tensor(0.0006),0.9000000000000002
210,70,tensor(0.0008),0.8500000000000002
280,70,0.0,1.0000000000000002
350,70,0.0,1.0000000000000002
420,70,0.0,1.0000000000000002
490,70,tensor(0.0001),0.9500000000000003
560,70,0.0,1.0000000000000002
630,70,0.0,1.0000000000000002
700,70,0.0,1.0000000000000002
770,70,0.0,1.0000000000000002
840,70,0.0,1.0000000000000002
910,70,0.0,1.0000000000000002
980,70,0.0,1.0000000000000002
1050,70,0.0,1.0000000000000002
1120,70,0.0,1.0000000000000002
1190,70,0.0,1.0000000000000002
1260,70,0.0,1.0000000000000002
1330,70,tensor(0.0003),0.7000000000000001
1400,70,tensor(0.0007),0.49999999999999994
1470,70,tensor(0.0041),0.15000000000000002
1540,70,tensor(0.0082),0.05
1610,70,tensor(0.0204),0.05
1680,70,tensor(0.0310),0.0
1750,70,tensor(0.0462),0.0
