n,d,p,loss_trend,CV_probability
250,30,250,0.0,1.0000000000000002
260,30,250,0.0,1.0000000000000002
270,30,250,0.0,1.0000000000000002
280,30,250,0.0,1.0000000000000002
290,30,250,0.0,1.0000000000000002
300,30,250,0.0,1.0000000000000002
310,30,250,0.0,1.0000000000000002
320,30,250,"tensor(8.4626e-05, dtype=torch.float64)",0.9600000000000003
330,30,250,0.0,1.0000000000000002
340,30,250,"tensor(7.6203e-05, dtype=torch.float64)",0.9600000000000003
350,30,250,"tensor(0.0009, dtype=torch.float64)",0.68
360,30,250,"tensor(0.0026, dtype=torch.float64)",0.32
370,30,250,"tensor(0.0052, dtype=torch.float64)",0.24000000000000002
380,30,250,"tensor(0.0061, dtype=torch.float64)",0.08
390,30,250,"tensor(0.0089, dtype=torch.float64)",0.0
400,30,250,"tensor(0.0141, dtype=torch.float64)",0.0
