n,p,d,loss_trend,CV_probability
30,30,30,0.0,1.0000000000000002
60,30,30,0.0,1.0000000000000002
90,30,30,0.0,1.0000000000000002
120,30,30,"tensor(0.0003, dtype=torch.float64)",0.9500000000000003
150,30,30,"tensor(0.0022, dtype=torch.float64)",0.6
180,30,30,"tensor(0.0060, dtype=torch.float64)",0.05
210,30,30,"tensor(0.0105, dtype=torch.float64)",0.0
240,30,30,"tensor(0.0200, dtype=torch.float64)",0.0
270,30,30,"tensor(0.0331, dtype=torch.float64)",0.0
300,30,30,"tensor(0.0512, dtype=torch.float64)",0.0
330,30,30,"tensor(0.0714, dtype=torch.float64)",0.0
360,30,30,"tensor(0.0939, dtype=torch.float64)",0.0
390,30,30,"tensor(0.1321, dtype=torch.float64)",0.0
420,30,30,"tensor(0.1582, dtype=torch.float64)",0.0
450,30,30,"tensor(0.1874, dtype=torch.float64)",0.0
480,30,30,"tensor(0.2139, dtype=torch.float64)",0.0
510,30,30,"tensor(0.2448, dtype=torch.float64)",0.0
540,30,30,"tensor(0.2674, dtype=torch.float64)",0.0
570,30,30,"tensor(0.2757, dtype=torch.float64)",0.0
600,30,30,"tensor(0.3157, dtype=torch.float64)",0.0
630,30,30,"tensor(0.3313, dtype=torch.float64)",0.0
660,30,30,"tensor(0.3481, dtype=torch.float64)",0.0
690,30,30,"tensor(0.3705, dtype=torch.float64)",0.0
