n,d,p,loss_trend,CV_probability
250,30,170,0.0,1.0000000000000002
260,30,170,0.0,1.0000000000000002
270,30,170,0.0,1.0000000000000002
280,30,170,0.0,1.0000000000000002
290,30,170,0.0,1.0000000000000002
300,30,170,0.0,1.0000000000000002
310,30,170,"tensor(0.0001, dtype=torch.float64)",0.9600000000000003
320,30,170,"tensor(0.0006, dtype=torch.float64)",0.7600000000000001
330,30,170,"tensor(0.0008, dtype=torch.float64)",0.68
340,30,170,"tensor(0.0017, dtype=torch.float64)",0.5599999999999999
350,30,170,"tensor(0.0058, dtype=torch.float64)",0.2
360,30,170,"tensor(0.0082, dtype=torch.float64)",0.04
370,30,170,"tensor(0.0079, dtype=torch.float64)",0.04
380,30,170,"tensor(0.0230, dtype=torch.float64)",0.0
390,30,170,"tensor(0.0172, dtype=torch.float64)",0.04
400,30,170,"tensor(0.0216, dtype=torch.float64)",0.04
