n,d,p,loss_trend,CV_probability
250,30,300,0.0,1.0000000000000002
260,30,300,0.0,1.0000000000000002
270,30,300,0.0,1.0000000000000002
280,30,300,0.0,1.0000000000000002
290,30,300,0.0,1.0000000000000002
300,30,300,0.0,1.0000000000000002
310,30,300,0.0,1.0000000000000002
320,30,300,0.0,1.0000000000000002
330,30,300,0.0,1.0000000000000002
340,30,300,0.0,1.0000000000000002
350,30,300,"tensor(0.0003, dtype=torch.float64)",0.9600000000000003
360,30,300,"tensor(0.0004, dtype=torch.float64)",0.8000000000000002
370,30,300,"tensor(0.0018, dtype=torch.float64)",0.5199999999999999
380,30,300,"tensor(0.0054, dtype=torch.float64)",0.28
390,30,300,"tensor(0.0057, dtype=torch.float64)",0.16
400,30,300,"tensor(0.0149, dtype=torch.float64)",0.0
410,30,300,"tensor(0.0117, dtype=torch.float64)",0.0
420,30,300,"tensor(0.0178, dtype=torch.float64)",0.0
430,30,300,"tensor(0.0278, dtype=torch.float64)",0.0
440,30,300,"tensor(0.0352, dtype=torch.float64)",0.0
450,30,300,"tensor(0.0455, dtype=torch.float64)",0.0
