n,d,loss_trend,CV_probability
30,30,tensor(0.0008),0.9500000000000003
60,30,tensor(0.0010),0.9500000000000003
90,30,tensor(0.0014),0.9000000000000002
120,30,tensor(0.0006),0.9000000000000002
150,30,0.0,1.0000000000000002
180,30,tensor(0.0003),0.9500000000000003
210,30,0.0,1.0000000000000002
240,30,0.0,1.0000000000000002
270,30,0.0,1.0000000000000002
300,30,0.0,1.0000000000000002
330,30,tensor(0.0033),0.9500000000000003
360,30,tensor(0.0011),0.8000000000000002
390,30,tensor(0.0095),0.6
420,30,tensor(0.0350),0.05
450,30,tensor(0.1080),0.0
480,30,tensor(0.1300),0.0
510,30,tensor(0.2106),0.0
540,30,tensor(0.2249),0.0
570,30,tensor(0.2611),0.0
600,30,tensor(0.2971),0.0
630,30,tensor(0.2797),0.0
660,30,tensor(0.2828),0.0
690,30,tensor(0.3004),0.0
720,30,tensor(0.3521),0.0
750,30,tensor(0.3500),0.0
