n,d,p,loss_trend,CV_probability
350,30,320,0.0,1.0000000000000002
360,30,320,"tensor(0.0002, dtype=torch.float64)",0.9000000000000002
370,30,320,"tensor(0.0008, dtype=torch.float64)",0.65
380,30,320,"tensor(0.0021, dtype=torch.float64)",0.35
390,30,320,"tensor(0.0033, dtype=torch.float64)",0.15000000000000002
400,30,320,"tensor(0.0101, dtype=torch.float64)",0.15000000000000002
410,30,320,"tensor(0.0144, dtype=torch.float64)",0.0
420,30,320,"tensor(0.0190, dtype=torch.float64)",0.0
430,30,320,"tensor(0.0228, dtype=torch.float64)",0.0
440,30,320,"tensor(0.0320, dtype=torch.float64)",0.0
450,30,320,"tensor(0.0457, dtype=torch.float64)",0.0
460,30,320,"tensor(0.0432, dtype=torch.float64)",0.0
470,30,320,"tensor(0.0463, dtype=torch.float64)",0.0
480,30,320,"tensor(0.0780, dtype=torch.float64)",0.0
490,30,320,"tensor(0.0663, dtype=torch.float64)",0.0
500,30,320,"tensor(0.1059, dtype=torch.float64)",0.0
