n,d,p,loss_trend,CV_probability
100,30,50,0.0,1.0000000000000002
110,30,50,0.0,1.0000000000000002
120,30,50,"tensor(0.0005, dtype=torch.float64)",0.9600000000000003
130,30,50,0.0,1.0000000000000002
140,30,50,0.0,1.0000000000000002
150,30,50,0.0,1.0000000000000002
160,30,50,0.0,1.0000000000000002
170,30,50,0.0,1.0000000000000002
180,30,50,0.0,1.0000000000000002
190,30,50,"tensor(0.0002, dtype=torch.float64)",0.9600000000000003
200,30,50,"tensor(0.0007, dtype=torch.float64)",0.7600000000000001
210,30,50,"tensor(0.0006, dtype=torch.float64)",0.8000000000000002
220,30,50,"tensor(0.0027, dtype=torch.float64)",0.36
230,30,50,"tensor(0.0034, dtype=torch.float64)",0.24000000000000002
240,30,50,"tensor(0.0044, dtype=torch.float64)",0.2
250,30,50,"tensor(0.0059, dtype=torch.float64)",0.12
260,30,50,"tensor(0.0073, dtype=torch.float64)",0.08
270,30,50,"tensor(0.0090, dtype=torch.float64)",0.0
280,30,50,"tensor(0.0119, dtype=torch.float64)",0.04
290,30,50,"tensor(0.0175, dtype=torch.float64)",0.0
300,30,50,"tensor(0.0201, dtype=torch.float64)",0.0
