n,d,loss_trend,CV_probability
80,80,tensor(0.0010),0.9000000000000002
160,80,tensor(0.0004),0.9500000000000003
240,80,tensor(0.0004),0.9000000000000002
320,80,tensor(9.3462e-05),0.9500000000000003
400,80,0.0,1.0000000000000002
480,80,0.0,1.0000000000000002
560,80,0.0,1.0000000000000002
640,80,tensor(5.9459e-05),0.9500000000000003
720,80,tensor(7.5722e-05),0.9500000000000003
800,80,0.0,1.0000000000000002
880,80,0.0,1.0000000000000002
960,80,0.0,1.0000000000000002
1040,80,0.0,1.0000000000000002
1120,80,0.0,1.0000000000000002
1200,80,0.0,1.0000000000000002
1280,80,0.0,1.0000000000000002
1360,80,0.0,1.0000000000000002
1440,80,0.0,1.0000000000000002
1520,80,tensor(2.6110e-05),0.9500000000000003
1600,80,tensor(0.0003),0.9000000000000002
1680,80,tensor(0.0006),0.49999999999999994
1760,80,tensor(0.0035),0.1
1840,80,tensor(0.0097),0.05
1920,80,tensor(0.0155),0.0
2000,80,tensor(0.0250),0.0
