n,p,d,loss_trend,CV_probability
90,30,90,"tensor(0.0003, dtype=torch.float64)",0.9500000000000003
180,30,90,"tensor(0.0007, dtype=torch.float64)",0.8500000000000002
270,30,90,"tensor(0.0003, dtype=torch.float64)",0.8500000000000002
360,30,90,0.0,1.0000000000000002
450,30,90,"tensor(0.0002, dtype=torch.float64)",0.9500000000000003
540,30,90,0.0,1.0000000000000002
630,30,90,"tensor(3.4728e-05, dtype=torch.float64)",0.9500000000000003
720,30,90,0.0,1.0000000000000002
810,30,90,0.0,1.0000000000000002
900,30,90,"tensor(5.1818e-05, dtype=torch.float64)",0.9500000000000003
990,30,90,"tensor(5.2125e-05, dtype=torch.float64)",0.9000000000000002
1080,30,90,"tensor(0.0001, dtype=torch.float64)",0.8500000000000002
1170,30,90,"tensor(0.0006, dtype=torch.float64)",0.35
1260,30,90,"tensor(0.0024, dtype=torch.float64)",0.0
1350,30,90,"tensor(0.0026, dtype=torch.float64)",0.0
1440,30,90,"tensor(0.0080, dtype=torch.float64)",0.0
1530,30,90,"tensor(0.0132, dtype=torch.float64)",0.0
1620,30,90,"tensor(0.0231, dtype=torch.float64)",0.0
1710,30,90,"tensor(0.0294, dtype=torch.float64)",0.0
1800,30,90,"tensor(0.0382, dtype=torch.float64)",0.0
1890,30,90,"tensor(0.0461, dtype=torch.float64)",0.0
1980,30,90,"tensor(0.0586, dtype=torch.float64)",0.0
2070,30,90,"tensor(0.0668, dtype=torch.float64)",0.0
2160,30,90,"tensor(0.0822, dtype=torch.float64)",0.0
2250,30,90,"tensor(0.0892, dtype=torch.float64)",0.0
2340,30,90,"tensor(0.1097, dtype=torch.float64)",0.0
2430,30,90,"tensor(0.1178, dtype=torch.float64)",0.0
