n,d,loss_trend,CV_probability
2500,100,0.0,1.0000000000000002
2600,100,0.0,1.0000000000000002
2700,100,0.0,1.0000000000000002
2800,100,0.0,1.0000000000000002
2850,100,0.0,1.0000000000000002
2900,100,1.9518500405930568e-05,0.8800000000000002
2950,100,6.19631273060451e-05,0.68
3000,100,0.0001506051539800823,0.36
3050,100,0.0002854715622758018,0.2
3100,100,0.0004298991251358975,0.04
3150,100,0.0008305393999830756,0.0
3200,100,0.0009108999514211883,0.0
3300,100,0.0019494726701749943,0.0
3400,100,0.0035147104090642485,0.0
3500,100,0.006208108100907482,0.0
