n,d,p,loss_trend,CV_probability
250,30,270,0.0,1.0000000000000002
260,30,270,0.0,1.0000000000000002
270,30,270,0.0,1.0000000000000002
280,30,270,0.0,1.0000000000000002
290,30,270,0.0,1.0000000000000002
300,30,270,0.0,1.0000000000000002
310,30,270,0.0,1.0000000000000002
320,30,270,0.0,1.0000000000000002
330,30,270,0.0,1.0000000000000002
340,30,270,"tensor(0.0002, dtype=torch.float64)",0.8800000000000002
350,30,270,"tensor(0.0003, dtype=torch.float64)",0.8400000000000002
360,30,270,"tensor(0.0020, dtype=torch.float64)",0.5599999999999999
370,30,270,"tensor(0.0020, dtype=torch.float64)",0.39999999999999997
380,30,270,"tensor(0.0059, dtype=torch.float64)",0.16
390,30,270,"tensor(0.0066, dtype=torch.float64)",0.04
400,30,270,"tensor(0.0137, dtype=torch.float64)",0.0
410,30,270,"tensor(0.0174, dtype=torch.float64)",0.0
420,30,270,"tensor(0.0223, dtype=torch.float64)",0.0
430,30,270,"tensor(0.0303, dtype=torch.float64)",0.0
440,30,270,"tensor(0.0350, dtype=torch.float64)",0.0
450,30,270,"tensor(0.0451, dtype=torch.float64)",0.0
