n,d,p,loss_trend,CV_probability
300,30,380,0.0,1.0000000000000002
310,30,380,0.0,1.0000000000000002
320,30,380,0.0,1.0000000000000002
330,30,380,0.0,1.0000000000000002
340,30,380,0.0,1.0000000000000002
350,30,380,0.0,1.0000000000000002
360,30,380,"tensor(0.0002, dtype=torch.float64)",0.9000000000000002
370,30,380,"tensor(0.0004, dtype=torch.float64)",0.9000000000000002
380,30,380,"tensor(0.0013, dtype=torch.float64)",0.5499999999999999
390,30,380,"tensor(0.0027, dtype=torch.float64)",0.2
400,30,380,"tensor(0.0076, dtype=torch.float64)",0.05
410,30,380,"tensor(0.0088, dtype=torch.float64)",0.0
420,30,380,"tensor(0.0169, dtype=torch.float64)",0.0
430,30,380,"tensor(0.0171, dtype=torch.float64)",0.0
440,30,380,"tensor(0.0192, dtype=torch.float64)",0.0
450,30,380,"tensor(0.0310, dtype=torch.float64)",0.0
