n,d,loss_trend,CV_probability
40,40,0.0,1.0000000000000002
80,40,tensor(0.0005),0.9500000000000003
120,40,tensor(0.0003),0.9500000000000003
160,40,0.0,1.0000000000000002
200,40,0.0,1.0000000000000002
240,40,0.0,1.0000000000000002
280,40,tensor(0.0003),0.9500000000000003
320,40,0.0,1.0000000000000002
360,40,0.0,1.0000000000000002
400,40,0.0,1.0000000000000002
440,40,0.0,1.0000000000000002
480,40,0.0,1.0000000000000002
520,40,0.0,1.0000000000000002
560,40,tensor(0.0008),0.9000000000000002
600,40,tensor(0.0027),0.7000000000000001
640,40,tensor(0.0149),0.3
680,40,tensor(0.0365),0.05
720,40,tensor(0.0629),0.0
760,40,tensor(0.0850),0.0
800,40,tensor(0.1221),0.0
840,40,tensor(0.1494),0.0
880,40,tensor(0.2001),0.0
920,40,tensor(0.1879),0.0
960,40,tensor(0.2402),0.0
1000,40,tensor(0.2647),0.0
