n,d,p,loss_trend,CV_probability
250,30,180,0.0,1.0000000000000002
260,30,180,0.0,1.0000000000000002
270,30,180,0.0,1.0000000000000002
280,30,180,0.0,1.0000000000000002
290,30,180,0.0,1.0000000000000002
300,30,180,0.0,1.0000000000000002
310,30,180,"tensor(0.0002, dtype=torch.float64)",0.8800000000000002
320,30,180,"tensor(0.0003, dtype=torch.float64)",0.8800000000000002
330,30,180,"tensor(0.0005, dtype=torch.float64)",0.7600000000000001
340,30,180,"tensor(0.0016, dtype=torch.float64)",0.43999999999999995
350,30,180,"tensor(0.0029, dtype=torch.float64)",0.36
360,30,180,"tensor(0.0047, dtype=torch.float64)",0.16
370,30,180,"tensor(0.0063, dtype=torch.float64)",0.16
380,30,180,"tensor(0.0116, dtype=torch.float64)",0.04
390,30,180,"tensor(0.0212, dtype=torch.float64)",0.0
400,30,180,"tensor(0.0224, dtype=torch.float64)",0.0
