n,d,p,loss_trend,CV_probability
250,30,120,0.0,1.0000000000000002
260,30,120,0.0,1.0000000000000002
270,30,120,"tensor(0.0001, dtype=torch.float64)",0.9600000000000003
280,30,120,0.0,1.0000000000000002
290,30,120,"tensor(0.0004, dtype=torch.float64)",0.8800000000000002
300,30,120,"tensor(0.0014, dtype=torch.float64)",0.6
310,30,120,"tensor(0.0016, dtype=torch.float64)",0.5599999999999999
320,30,120,"tensor(0.0026, dtype=torch.float64)",0.43999999999999995
330,30,120,"tensor(0.0042, dtype=torch.float64)",0.12
340,30,120,"tensor(0.0065, dtype=torch.float64)",0.12
350,30,120,"tensor(0.0130, dtype=torch.float64)",0.04
360,30,120,"tensor(0.0154, dtype=torch.float64)",0.04
370,30,120,"tensor(0.0176, dtype=torch.float64)",0.0
380,30,120,"tensor(0.0225, dtype=torch.float64)",0.0
390,30,120,"tensor(0.0296, dtype=torch.float64)",0.04
400,30,120,"tensor(0.0359, dtype=torch.float64)",0.0
