d,n,p,loss_trend,CV_probability
30,350,390,6.93832225895619e-05,0.9500000000000003
30,360,390,8.85186374317907e-05,0.9500000000000003
30,370,390,0.0006858669703369511,0.7000000000000001
30,380,390,0.001134441434584045,0.5499999999999999
30,390,390,0.002272793588076132,0.49999999999999994
30,400,390,0.009532132450636888,0.2
30,410,390,0.008486906951782934,0.0
30,420,390,0.012021363746564205,0.0
30,430,390,0.021417066976958415,0.0
30,440,390,0.02687094008950135,0.05
30,450,390,0.030416630707252968,0.0
