n,d,p,loss_trend,CV_probability
100,20,55,0.0,1.0000000000000002
110,20,55,0.0,1.0000000000000002
120,20,55,0.0,1.0000000000000002
130,20,55,0.0,1.0000000000000002
140,20,55,0.0,1.0000000000000002
150,20,55,0.0,1.0000000000000002
160,20,55,0.0,1.0000000000000002
170,20,55,0.0,1.0000000000000002
180,20,55,0.0,1.0000000000000002
190,20,55,0.0,1.0000000000000002
200,20,55,tensor(0.0006),0.9500000000000003
210,20,55,tensor(0.0120),0.8000000000000002
220,20,55,tensor(0.0245),0.39999999999999997
230,20,55,tensor(0.0612),0.15000000000000002
240,20,55,tensor(0.1227),0.05
250,20,55,tensor(0.1252),0.0
260,20,55,tensor(0.1119),0.0
270,20,55,tensor(0.1663),0.0
280,20,55,tensor(0.2374),0.0
290,20,55,tensor(0.2376),0.0
300,20,55,tensor(0.2396),0.0
