n,d,p,loss_trend,CV_probability
250,30,220,0.0,1.0000000000000002
260,30,220,0.0,1.0000000000000002
270,30,220,0.0,1.0000000000000002
280,30,220,0.0,1.0000000000000002
290,30,220,0.0,1.0000000000000002
300,30,220,0.0,1.0000000000000002
310,30,220,0.0,1.0000000000000002
320,30,220,"tensor(7.8346e-05, dtype=torch.float64)",0.9600000000000003
330,30,220,"tensor(0.0003, dtype=torch.float64)",0.9200000000000003
340,30,220,"tensor(0.0006, dtype=torch.float64)",0.7600000000000001
350,30,220,"tensor(0.0016, dtype=torch.float64)",0.43999999999999995
360,30,220,"tensor(0.0026, dtype=torch.float64)",0.2
370,30,220,"tensor(0.0050, dtype=torch.float64)",0.08
380,30,220,"tensor(0.0090, dtype=torch.float64)",0.08
390,30,220,"tensor(0.0132, dtype=torch.float64)",0.0
400,30,220,"tensor(0.0199, dtype=torch.float64)",0.0
