n,d,p,loss_trend,CV_probability
250,30,280,0.0,1.0000000000000002
260,30,280,0.0,1.0000000000000002
270,30,280,0.0,1.0000000000000002
280,30,280,0.0,1.0000000000000002
290,30,280,0.0,1.0000000000000002
300,30,280,0.0,1.0000000000000002
310,30,280,0.0,1.0000000000000002
320,30,280,0.0,1.0000000000000002
330,30,280,"tensor(5.2892e-05, dtype=torch.float64)",0.9600000000000003
340,30,280,"tensor(9.1715e-05, dtype=torch.float64)",0.9600000000000003
350,30,280,"tensor(0.0013, dtype=torch.float64)",0.7600000000000001
360,30,280,"tensor(0.0010, dtype=torch.float64)",0.6
370,30,280,"tensor(0.0022, dtype=torch.float64)",0.16
380,30,280,"tensor(0.0045, dtype=torch.float64)",0.12
390,30,280,"tensor(0.0117, dtype=torch.float64)",0.12
400,30,280,"tensor(0.0110, dtype=torch.float64)",0.04
410,30,280,"tensor(0.0138, dtype=torch.float64)",0.0
420,30,280,"tensor(0.0216, dtype=torch.float64)",0.0
430,30,280,"tensor(0.0304, dtype=torch.float64)",0.0
440,30,280,"tensor(0.0411, dtype=torch.float64)",0.0
450,30,280,"tensor(0.0428, dtype=torch.float64)",0.0
