n,d,p,loss_trend,CV_probability
100,30,70,0.0,1.0000000000000002
110,30,70,0.0,1.0000000000000002
120,30,70,0.0,1.0000000000000002
130,30,70,0.0,1.0000000000000002
140,30,70,0.0,1.0000000000000002
150,30,70,0.0,1.0000000000000002
160,30,70,0.0,1.0000000000000002
170,30,70,0.0,1.0000000000000002
180,30,70,0.0,1.0000000000000002
190,30,70,0.0,1.0000000000000002
200,30,70,0.0,1.0000000000000002
210,30,70,0.0,1.0000000000000002
220,30,70,"tensor(0.0001, dtype=torch.float64)",0.9600000000000003
230,30,70,"tensor(0.0002, dtype=torch.float64)",0.9200000000000003
240,30,70,"tensor(0.0004, dtype=torch.float64)",0.8400000000000002
250,30,70,"tensor(0.0011, dtype=torch.float64)",0.68
260,30,70,"tensor(0.0018, dtype=torch.float64)",0.5599999999999999
270,30,70,"tensor(0.0040, dtype=torch.float64)",0.08
280,30,70,"tensor(0.0039, dtype=torch.float64)",0.16
290,30,70,"tensor(0.0062, dtype=torch.float64)",0.08
300,30,70,"tensor(0.0079, dtype=torch.float64)",0.04
