n,d,p,loss_trend,CV_probability
250,30,290,0.0,1.0000000000000002
260,30,290,0.0,1.0000000000000002
270,30,290,0.0,1.0000000000000002
280,30,290,0.0,1.0000000000000002
290,30,290,0.0,1.0000000000000002
300,30,290,0.0,1.0000000000000002
310,30,290,"tensor(0.0002, dtype=torch.float64)",0.9600000000000003
320,30,290,0.0,1.0000000000000002
330,30,290,0.0,1.0000000000000002
340,30,290,"tensor(7.4183e-05, dtype=torch.float64)",0.9600000000000003
350,30,290,"tensor(0.0003, dtype=torch.float64)",0.8400000000000002
360,30,290,"tensor(0.0008, dtype=torch.float64)",0.7600000000000001
370,30,290,"tensor(0.0022, dtype=torch.float64)",0.43999999999999995
380,30,290,"tensor(0.0035, dtype=torch.float64)",0.2
390,30,290,"tensor(0.0063, dtype=torch.float64)",0.16
400,30,290,"tensor(0.0086, dtype=torch.float64)",0.0
410,30,290,"tensor(0.0193, dtype=torch.float64)",0.08
420,30,290,"tensor(0.0196, dtype=torch.float64)",0.0
430,30,290,"tensor(0.0236, dtype=torch.float64)",0.0
440,30,290,"tensor(0.0339, dtype=torch.float64)",0.0
450,30,290,"tensor(0.0391, dtype=torch.float64)",0.0
