n,d,loss_trend,CV_probability
50,50,0.0,1.0000000000000002
100,50,0.0,1.0000000000000002
150,50,0.0,1.0000000000000002
200,50,tensor(0.0005),0.9000000000000002
250,50,0.0,1.0000000000000002
300,50,tensor(0.0001),0.9500000000000003
350,50,0.0,1.0000000000000002
400,50,0.0,1.0000000000000002
450,50,tensor(6.6603e-05),0.9500000000000003
500,50,0.0,1.0000000000000002
550,50,0.0,1.0000000000000002
600,50,0.0,1.0000000000000002
650,50,0.0,1.0000000000000002
700,50,0.0,1.0000000000000002
750,50,0.0,1.0000000000000002
800,50,tensor(0.0014),0.8500000000000002
850,50,tensor(0.0007),0.7500000000000001
900,50,tensor(0.0127),0.2
950,50,tensor(0.0202),0.0
1000,50,tensor(0.0397),0.0
1050,50,tensor(0.0640),0.0
1100,50,tensor(0.0978),0.0
1150,50,tensor(0.1277),0.0
1200,50,tensor(0.1379),0.0
1250,50,tensor(0.1532),0.0
