n,d,p,loss_trend,CV_probability
300,30,400,0.0,1.0000000000000002
310,30,400,0.0,1.0000000000000002
320,30,400,0.0,1.0000000000000002
330,30,400,0.0,1.0000000000000002
340,30,400,0.0,1.0000000000000002
350,30,400,0.0,1.0000000000000002
360,30,400,"tensor(0.0002, dtype=torch.float64)",0.9000000000000002
370,30,400,"tensor(0.0010, dtype=torch.float64)",0.65
380,30,400,"tensor(0.0015, dtype=torch.float64)",0.6
390,30,400,"tensor(0.0029, dtype=torch.float64)",0.35
400,30,400,"tensor(0.0043, dtype=torch.float64)",0.1
410,30,400,"tensor(0.0081, dtype=torch.float64)",0.05
420,30,400,"tensor(0.0184, dtype=torch.float64)",0.0
430,30,400,"tensor(0.0179, dtype=torch.float64)",0.0
440,30,400,"tensor(0.0254, dtype=torch.float64)",0.0
450,30,400,"tensor(0.0313, dtype=torch.float64)",0.0
