d,n,p,loss_trend,CV_probability
60,60,30,0.0,1.0000000000000002
60,120,30,0.00047395870071343104,0.9500000000000003
60,180,30,0.0009572880788120512,0.9000000000000002
60,240,30,0.0,1.0000000000000002
60,300,30,0.00020018512931283512,0.9500000000000003
60,360,30,0.0,1.0000000000000002
60,420,30,0.0,1.0000000000000002
60,480,30,7.22508892616473e-05,0.9500000000000003
60,540,30,0.00037829489620341497,0.9000000000000002
60,600,30,0.0019823183483847024,0.6
60,660,30,0.006123423637827034,0.05
60,720,30,0.007633532803737194,0.0
60,780,30,0.01366037719892047,0.0
60,840,30,0.022619652804626918,0.0
60,900,30,0.028280559152894603,0.0
60,960,30,0.04114561565949489,0.0
60,1020,30,0.05997232037269972,0.0
60,1080,30,0.06759393580553068,0.0
60,1140,30,0.08707723447147378,0.0
60,1200,30,0.09634012444582259,0.0
60,1260,30,0.11621276601887169,0.0
60,1320,30,0.13077309004677046,0.0
60,1380,30,0.15207099330807092,0.0
60,1440,30,0.16533829249736362,0.0
60,1500,30,0.17893316038547508,0.0
60,1560,30,0.19853774937975166,0.0
60,1620,30,0.20733599504636943,0.0
