n,d,p,loss_trend,CV_probability
100,20,45,0.0,1.0000000000000002
110,20,45,0.0,1.0000000000000002
120,20,45,0.0,1.0000000000000002
130,20,45,0.0,1.0000000000000002
140,20,45,0.0,1.0000000000000002
150,20,45,0.0,1.0000000000000002
160,20,45,0.0,1.0000000000000002
170,20,45,0.0,1.0000000000000002
180,20,45,0.0,1.0000000000000002
190,20,45,tensor(0.0004),0.9500000000000003
200,20,45,tensor(0.0087),0.8000000000000002
210,20,45,tensor(0.0256),0.6
220,20,45,tensor(0.0322),0.35
230,20,45,tensor(0.1024),0.25
240,20,45,tensor(0.1892),0.0
250,20,45,tensor(0.1495),0.0
260,20,45,tensor(0.1965),0.0
270,20,45,tensor(0.2106),0.0
280,20,45,tensor(0.2261),0.0
290,20,45,tensor(0.2316),0.0
300,20,45,tensor(0.2670),0.0
