n,d,p,loss_trend,CV_probability
100,30,80,0.0,1.0000000000000002
110,30,80,0.0,1.0000000000000002
120,30,80,0.0,1.0000000000000002
130,30,80,0.0,1.0000000000000002
140,30,80,0.0,1.0000000000000002
150,30,80,0.0,1.0000000000000002
160,30,80,0.0,1.0000000000000002
170,30,80,0.0,1.0000000000000002
180,30,80,0.0,1.0000000000000002
190,30,80,0.0,1.0000000000000002
200,30,80,0.0,1.0000000000000002
210,30,80,0.0,1.0000000000000002
220,30,80,0.0,1.0000000000000002
230,30,80,0.0,1.0000000000000002
240,30,80,"tensor(0.0002, dtype=torch.float64)",0.9200000000000003
250,30,80,"tensor(0.0003, dtype=torch.float64)",0.8800000000000002
260,30,80,"tensor(0.0007, dtype=torch.float64)",0.8000000000000002
270,30,80,"tensor(0.0016, dtype=torch.float64)",0.5199999999999999
280,30,80,"tensor(0.0029, dtype=torch.float64)",0.32
290,30,80,"tensor(0.0027, dtype=torch.float64)",0.36
300,30,80,"tensor(0.0056, dtype=torch.float64)",0.04
