n,d,p,loss_trend,CV_probability
100,20,65,0.0,1.0000000000000002
110,20,65,0.0,1.0000000000000002
120,20,65,0.0,1.0000000000000002
130,20,65,0.0,1.0000000000000002
140,20,65,0.0,1.0000000000000002
150,20,65,0.0,1.0000000000000002
160,20,65,0.0,1.0000000000000002
170,20,65,0.0,1.0000000000000002
180,20,65,0.0,1.0000000000000002
190,20,65,0.0,1.0000000000000002
200,20,65,0.0,1.0000000000000002
210,20,65,tensor(0.0045),0.9000000000000002
220,20,65,tensor(0.0017),0.9500000000000003
230,20,65,tensor(0.0449),0.35
240,20,65,tensor(0.0648),0.25
250,20,65,tensor(0.1349),0.05
260,20,65,tensor(0.1448),0.0
270,20,65,tensor(0.2073),0.0
280,20,65,tensor(0.2446),0.0
290,20,65,tensor(0.2015),0.0
300,20,65,tensor(0.2384),0.0
