n,d,p,loss_trend,CV_probability
250,30,230,0.0,1.0000000000000002
260,30,230,0.0,1.0000000000000002
270,30,230,0.0,1.0000000000000002
280,30,230,0.0,1.0000000000000002
290,30,230,0.0,1.0000000000000002
300,30,230,0.0,1.0000000000000002
310,30,230,0.0,1.0000000000000002
320,30,230,"tensor(0.0005, dtype=torch.float64)",0.9600000000000003
330,30,230,0.0,1.0000000000000002
340,30,230,"tensor(0.0004, dtype=torch.float64)",0.7600000000000001
350,30,230,"tensor(0.0018, dtype=torch.float64)",0.4799999999999999
360,30,230,"tensor(0.0022, dtype=torch.float64)",0.4799999999999999
370,30,230,"tensor(0.0042, dtype=torch.float64)",0.12
380,30,230,"tensor(0.0068, dtype=torch.float64)",0.12
390,30,230,"tensor(0.0121, dtype=torch.float64)",0.04
400,30,230,"tensor(0.0241, dtype=torch.float64)",0.04
