d,n,p,loss_trend,CV_probability
70,70,30,0.0007952488678240588,0.9500000000000003
70,140,30,0.0,1.0000000000000002
70,210,30,0.00015361045879636664,0.9500000000000003
70,280,30,0.0,1.0000000000000002
70,350,30,0.0003749280710244435,0.8500000000000002
70,420,30,0.00012897266978928863,0.9000000000000002
70,490,30,0.00013794040068911283,0.9500000000000003
70,560,30,0.0,1.0000000000000002
70,630,30,0.00011442662986905031,0.9500000000000003
70,700,30,0.0,1.0000000000000002
70,770,30,0.0006297279128747934,0.9000000000000002
70,840,30,0.0022412833222669034,0.35
70,910,30,0.006968993716997683,0.0
70,980,30,0.011957672461009042,0.0
70,1050,30,0.01625330975840827,0.0
70,1120,30,0.028773543632191523,0.0
70,1190,30,0.03711429305585673,0.0
70,1260,30,0.048087707392262126,0.0
70,1330,30,0.061060064929571785,0.0
70,1400,30,0.0681853190409642,0.0
70,1470,30,0.08153506838897116,0.0
70,1540,30,0.09710641958522333,0.0
70,1610,30,0.11123058667793623,0.0
70,1680,30,0.1273210345656143,0.0
70,1750,30,0.14093327230084315,0.0
70,1820,30,0.15676699840889968,0.0
70,1890,30,0.17481788429764902,0.0
70,1960,30,0.1745694045166691,0.0
