n,d,p,loss_trend,CV_probability
350,30,340,"tensor(0.0002, dtype=torch.float64)",0.9500000000000003
360,30,340,"tensor(0.0008, dtype=torch.float64)",0.9000000000000002
370,30,340,"tensor(0.0011, dtype=torch.float64)",0.65
380,30,340,"tensor(0.0022, dtype=torch.float64)",0.3
390,30,340,"tensor(0.0036, dtype=torch.float64)",0.1
400,30,340,"tensor(0.0074, dtype=torch.float64)",0.0
410,30,340,"tensor(0.0198, dtype=torch.float64)",0.0
420,30,340,"tensor(0.0219, dtype=torch.float64)",0.05
430,30,340,"tensor(0.0210, dtype=torch.float64)",0.0
440,30,340,"tensor(0.0249, dtype=torch.float64)",0.0
450,30,340,"tensor(0.0382, dtype=torch.float64)",0.0
460,30,340,"tensor(0.0609, dtype=torch.float64)",0.0
470,30,340,"tensor(0.0467, dtype=torch.float64)",0.0
480,30,340,"tensor(0.0867, dtype=torch.float64)",0.0
490,30,340,"tensor(0.0769, dtype=torch.float64)",0.0
500,30,340,"tensor(0.0757, dtype=torch.float64)",0.0
