n,d,p,loss_trend,CV_probability
20,20,20,0.0,1.0
30,20,20,0.0,1.0
40,20,20,"tensor(0.0220, dtype=torch.float64)",0.5
50,20,20,0.0,1.0
60,20,20,0.0,1.0
70,20,20,"tensor(0.0121, dtype=torch.float64)",0.0
80,20,20,"tensor(0.0171, dtype=torch.float64)",0.0
90,20,20,"tensor(0.0451, dtype=torch.float64)",0.0
100,20,20,"tensor(0.0100, dtype=torch.float64)",0.0
110,20,20,"tensor(0.0314, dtype=torch.float64)",0.0
120,20,20,"tensor(0.0362, dtype=torch.float64)",0.0
130,20,20,"tensor(0.0842, dtype=torch.float64)",0.0
140,20,20,"tensor(0.0949, dtype=torch.float64)",0.0
150,20,20,"tensor(0.1038, dtype=torch.float64)",0.0
160,20,20,"tensor(0.0814, dtype=torch.float64)",0.0
170,20,20,"tensor(0.1749, dtype=torch.float64)",0.0
180,20,20,"tensor(0.1350, dtype=torch.float64)",0.0
190,20,20,"tensor(0.1712, dtype=torch.float64)",0.0
200,20,20,"tensor(0.2207, dtype=torch.float64)",0.0
