n,d,loss_trend,CV_probability
2500,100,0.037384426866459375,0.0
2600,100,0.04455462427206923,0.0
2700,100,0.055898830728166364,0.0
2800,100,0.061729526904246726,0.0
2850,100,0.06822750103577048,0.0
2900,100,0.07169788566883424,0.0
2950,100,0.0785215335898396,0.0
3000,100,0.08218714023938206,0.0
3050,100,0.08753950945486601,0.0
3100,100,0.09489148795427778,0.0
3150,100,0.09853873577987614,0.0
3200,100,0.10460953187325987,0.0
3300,100,0.11568451784302987,0.0
3400,100,0.1267750580870162,0.0
3500,100,0.13548621836045596,0.0
