n,d,p,loss_trend,CV_probability
250,30,190,0.0,1.0000000000000002
260,30,190,0.0,1.0000000000000002
270,30,190,0.0,1.0000000000000002
280,30,190,0.0,1.0000000000000002
290,30,190,0.0,1.0000000000000002
300,30,190,0.0,1.0000000000000002
310,30,190,0.0,1.0000000000000002
320,30,190,"tensor(0.0001, dtype=torch.float64)",0.9200000000000003
330,30,190,"tensor(0.0008, dtype=torch.float64)",0.7200000000000001
340,30,190,"tensor(0.0013, dtype=torch.float64)",0.6
350,30,190,"tensor(0.0019, dtype=torch.float64)",0.5199999999999999
360,30,190,"tensor(0.0057, dtype=torch.float64)",0.08
370,30,190,"tensor(0.0072, dtype=torch.float64)",0.08
380,30,190,"tensor(0.0107, dtype=torch.float64)",0.08
390,30,190,"tensor(0.0166, dtype=torch.float64)",0.0
400,30,190,"tensor(0.0210, dtype=torch.float64)",0.0
