n,d,p,loss_trend,CV_probability
250,30,260,0.0,1.0000000000000002
260,30,260,0.0,1.0000000000000002
270,30,260,0.0,1.0000000000000002
280,30,260,0.0,1.0000000000000002
290,30,260,0.0,1.0000000000000002
300,30,260,0.0,1.0000000000000002
310,30,260,0.0,1.0000000000000002
320,30,260,0.0,1.0000000000000002
330,30,260,0.0,1.0000000000000002
340,30,260,"tensor(0.0004, dtype=torch.float64)",0.8400000000000002
350,30,260,"tensor(0.0003, dtype=torch.float64)",0.8000000000000002
360,30,260,"tensor(0.0023, dtype=torch.float64)",0.32
370,30,260,"tensor(0.0020, dtype=torch.float64)",0.36
380,30,260,"tensor(0.0060, dtype=torch.float64)",0.08
390,30,260,"tensor(0.0068, dtype=torch.float64)",0.0
400,30,260,"tensor(0.0111, dtype=torch.float64)",0.0
410,30,260,"tensor(0.0169, dtype=torch.float64)",0.0
420,30,260,"tensor(0.0278, dtype=torch.float64)",0.0
430,30,260,"tensor(0.0382, dtype=torch.float64)",0.0
440,30,260,"tensor(0.0376, dtype=torch.float64)",0.0
450,30,260,"tensor(0.0438, dtype=torch.float64)",0.0
