d,n,p,loss_trend,CV_probability
40,40,30,0.0,1.0000000000000002
40,80,30,0.0004892514529701499,0.9500000000000003
40,120,30,0.00021738854773508737,0.9500000000000003
40,160,30,0.00016558495266279328,0.9500000000000003
40,200,30,0.0,1.0000000000000002
40,240,30,0.000791301073134073,0.7000000000000001
40,280,30,0.0031581944230684163,0.35
40,320,30,0.00556792978665371,0.1
40,360,30,0.010781020756540683,0.0
40,400,30,0.017331971433549413,0.0
40,440,30,0.03380283165142947,0.0
40,480,30,0.04004619888368403,0.0
40,520,30,0.0581508856272638,0.0
40,560,30,0.08065789994433184,0.0
40,600,30,0.09653339969953839,0.0
40,640,30,0.11711173457347543,0.0
40,680,30,0.14770571455656964,0.0
40,720,30,0.1721731628891288,0.0
40,760,30,0.19455827711013068,0.0
40,800,30,0.2092189650810745,0.0
40,840,30,0.23435227328357527,0.0
40,880,30,0.26161234910678177,0.0
40,920,30,0.27120921229098865,0.0
40,960,30,0.29099422597080316,0.0
40,1000,30,0.30093574527056255,0.0
