d,n,p,loss_trend,CV_probability
80,80,30,0.0005394176904830843,0.9500000000000003
80,160,30,0.0,1.0000000000000002
80,240,30,0.00019343068477522561,0.9500000000000003
80,320,30,0.0,1.0000000000000002
80,400,30,0.0,1.0000000000000002
80,480,30,0.0001698677350756319,0.9000000000000002
80,560,30,3.852312583168512e-05,0.9500000000000003
80,640,30,0.0,1.0000000000000002
80,720,30,0.0,1.0000000000000002
80,800,30,0.0,1.0000000000000002
80,880,30,2.5131877404473953e-05,0.9500000000000003
80,960,30,0.0009365626116618604,0.7500000000000001
80,1040,30,0.0008280264174184073,0.3
80,1120,30,0.005953900025484062,0.0
80,1200,30,0.010543235777696721,0.0
80,1280,30,0.014749067659807307,0.0
80,1360,30,0.02023885880553117,0.0
80,1440,30,0.029317706464009344,0.0
80,1520,30,0.03953695113445543,0.0
80,1600,30,0.0522665669766698,0.0
80,1680,30,0.06368317972670415,0.0
80,1760,30,0.07191902108208446,0.0
80,1840,30,0.08158477306175778,0.0
80,1920,30,0.09795803258228701,0.0
80,2000,30,0.11263751557532883,0.0
80,2080,30,0.12905010336790482,0.0
80,2160,30,0.14337783351254513,0.0
80,2240,30,0.15663385822112733,0.0
