n,d,p,loss_trend,CV_probability
100,20,35,0.0,1.0000000000000002
110,20,35,0.0,1.0000000000000002
120,20,35,0.0,1.0000000000000002
130,20,35,tensor(0.0002),0.9500000000000003
140,20,35,0.0,1.0000000000000002
150,20,35,0.0,1.0000000000000002
160,20,35,0.0,1.0000000000000002
170,20,35,0.0,1.0000000000000002
180,20,35,tensor(0.0006),0.9500000000000003
190,20,35,tensor(0.0098),0.8000000000000002
200,20,35,tensor(0.0170),0.65
210,20,35,tensor(0.0433),0.3
220,20,35,tensor(0.0720),0.05
230,20,35,tensor(0.0996),0.05
240,20,35,tensor(0.1067),0.0
250,20,35,tensor(0.1569),0.0
260,20,35,tensor(0.2045),0.0
270,20,35,tensor(0.2172),0.0
280,20,35,tensor(0.2103),0.0
290,20,35,tensor(0.2896),0.0
300,20,35,tensor(0.2658),0.0
