d,n,p,loss_trend,CV_probability
90,90,30,0.0006604914984586626,0.9000000000000002
90,180,30,0.0007299752198417189,0.9000000000000002
90,270,30,0.0007589297322767523,0.8000000000000002
90,360,30,0.0,1.0000000000000002
90,450,30,0.0,1.0000000000000002
90,540,30,0.0,1.0000000000000002
90,630,30,0.0,1.0000000000000002
90,720,30,0.00011285008379001359,0.9500000000000003
90,810,30,0.0,1.0000000000000002
90,900,30,0.0,1.0000000000000002
90,990,30,0.0,1.0000000000000002
90,1080,30,4.631662263851897e-05,0.9000000000000002
90,1170,30,0.0004149479226526766,0.35
90,1260,30,0.0008498501890008047,0.0
90,1350,30,0.0028008147927858786,0.0
90,1440,30,0.008330101357899699,0.0
90,1530,30,0.013025982678047061,0.0
90,1620,30,0.0187871278278175,0.0
90,1710,30,0.027371793756841806,0.0
90,1800,30,0.03544556278532016,0.0
90,1890,30,0.04189082093816745,0.0
90,1980,30,0.05425302061161021,0.0
90,2070,30,0.06733850891490127,0.0
90,2160,30,0.07984912524541535,0.0
90,2250,30,0.08866987526529642,0.0
90,2340,30,0.09972378278127,0.0
90,2430,30,0.11040885875837857,0.0
90,2520,30,0.13058628260676525,0.0
