n,d,p,loss_trend,CV_probability
250,30,240,0.0,1.0000000000000002
260,30,240,0.0,1.0000000000000002
270,30,240,0.0,1.0000000000000002
280,30,240,0.0,1.0000000000000002
290,30,240,0.0,1.0000000000000002
300,30,240,0.0,1.0000000000000002
310,30,240,0.0,1.0000000000000002
320,30,240,"tensor(0.0001, dtype=torch.float64)",0.9600000000000003
330,30,240,"tensor(0.0003, dtype=torch.float64)",0.9200000000000003
340,30,240,"tensor(0.0003, dtype=torch.float64)",0.8400000000000002
350,30,240,"tensor(0.0013, dtype=torch.float64)",0.6
360,30,240,"tensor(0.0013, dtype=torch.float64)",0.43999999999999995
370,30,240,"tensor(0.0057, dtype=torch.float64)",0.28
380,30,240,"tensor(0.0060, dtype=torch.float64)",0.12
390,30,240,"tensor(0.0084, dtype=torch.float64)",0.04
400,30,240,"tensor(0.0123, dtype=torch.float64)",0.08
