n,d,loss_trend,CV_probability
10,10,tensor(0.0021),0.9500000000000003
20,10,0.0,1.0000000000000002
30,10,tensor(0.0013),0.9500000000000003
40,10,0.0,1.0000000000000002
50,10,tensor(0.0033),0.9000000000000002
60,10,tensor(0.0395),0.6
70,10,tensor(0.1710),0.1
80,10,tensor(0.2433),0.0
90,10,tensor(0.4026),0.0
100,10,tensor(0.3611),0.0
110,10,tensor(0.4607),0.0
120,10,tensor(0.6136),0.0
130,10,tensor(0.5012),0.0
140,10,tensor(0.5790),0.0
150,10,tensor(0.6311),0.0
160,10,tensor(0.4974),0.0
170,10,tensor(0.6346),0.0
180,10,tensor(0.6858),0.0
190,10,tensor(0.7036),0.0
200,10,tensor(0.6867),0.0
210,10,tensor(0.6356),0.0
220,10,tensor(0.6850),0.0
230,10,tensor(0.8364),0.0
240,10,tensor(0.7277),0.0
250,10,tensor(0.7908),0.0
