n,d,p,loss_trend,CV_probability
300,30,370,0.0,1.0000000000000002
310,30,370,0.0,1.0000000000000002
320,30,370,0.0,1.0000000000000002
330,30,370,0.0,1.0000000000000002
340,30,370,0.0,1.0000000000000002
350,30,370,0.0,1.0000000000000002
360,30,370,"tensor(0.0009, dtype=torch.float64)",0.9500000000000003
370,30,370,"tensor(0.0007, dtype=torch.float64)",0.7000000000000001
380,30,370,"tensor(0.0023, dtype=torch.float64)",0.49999999999999994
390,30,370,"tensor(0.0045, dtype=torch.float64)",0.15000000000000002
400,30,370,"tensor(0.0077, dtype=torch.float64)",0.1
410,30,370,"tensor(0.0067, dtype=torch.float64)",0.05
420,30,370,"tensor(0.0101, dtype=torch.float64)",0.0
430,30,370,"tensor(0.0264, dtype=torch.float64)",0.0
440,30,370,"tensor(0.0345, dtype=torch.float64)",0.0
450,30,370,"tensor(0.0306, dtype=torch.float64)",0.0
