n,d,p,loss_trend,CV_probability
100,30,60,"tensor(0.0002, dtype=torch.float64)",0.9600000000000003
110,30,60,0.0,1.0000000000000002
120,30,60,0.0,1.0000000000000002
130,30,60,0.0,1.0000000000000002
140,30,60,0.0,1.0000000000000002
150,30,60,0.0,1.0000000000000002
160,30,60,0.0,1.0000000000000002
170,30,60,0.0,1.0000000000000002
180,30,60,0.0,1.0000000000000002
190,30,60,0.0,1.0000000000000002
200,30,60,0.0,1.0000000000000002
210,30,60,"tensor(0.0001, dtype=torch.float64)",0.9600000000000003
220,30,60,"tensor(0.0004, dtype=torch.float64)",0.8400000000000002
230,30,60,"tensor(0.0007, dtype=torch.float64)",0.7200000000000001
240,30,60,"tensor(0.0030, dtype=torch.float64)",0.36
250,30,60,"tensor(0.0019, dtype=torch.float64)",0.36
260,30,60,"tensor(0.0036, dtype=torch.float64)",0.32
270,30,60,"tensor(0.0057, dtype=torch.float64)",0.12
280,30,60,"tensor(0.0067, dtype=torch.float64)",0.08
290,30,60,"tensor(0.0107, dtype=torch.float64)",0.0
300,30,60,"tensor(0.0140, dtype=torch.float64)",0.0
