d,n,p,loss_trend,CV_probability
30,30,30,0.0,1.0000000000000002
30,60,30,0.0,1.0000000000000002
30,90,30,0.0012149979839284196,0.8500000000000002
30,120,30,0.00023989086336218102,0.9500000000000003
30,150,30,0.0007404670472266341,0.8000000000000002
30,180,30,0.004262243256221197,0.15000000000000002
30,210,30,0.008829213679275917,0.0
30,240,30,0.019651946469450777,0.0
30,270,30,0.03370547742091101,0.0
30,300,30,0.04805555552775501,0.0
30,330,30,0.0750915278294368,0.0
30,360,30,0.09562616293643716,0.0
30,390,30,0.12897230012796068,0.0
30,420,30,0.1543082574062002,0.0
30,450,30,0.17951244677179218,0.0
30,480,30,0.22502041758831395,0.0
30,510,30,0.2495006916690404,0.0
30,540,30,0.26427631222974257,0.0
30,570,30,0.2898766574443131,0.0
30,600,30,0.2989303281283759,0.0
30,630,30,0.32762525862231784,0.0
30,660,30,0.3401584470946313,0.0
30,690,30,0.3596154715631429,0.0
30,720,30,0.37969772185750844,0.0
