d,n,p,loss_trend,CV_probability
50,50,30,0.0,1.0000000000000002
50,100,30,0.0,1.0000000000000002
50,150,30,0.0005134433547449087,0.9000000000000002
50,200,30,0.0003704393979203069,0.9500000000000003
50,250,30,0.0001638691891651513,0.9500000000000003
50,300,30,0.00010339053585752077,0.9500000000000003
50,350,30,0.00015674367517553336,0.9000000000000002
50,400,30,0.0009165325238589942,0.65
50,450,30,0.005066985704188963,0.2
50,500,30,0.00755568813653375,0.0
50,550,30,0.01028419504571376,0.0
50,600,30,0.016690086925080908,0.0
50,650,30,0.02995736691412234,0.0
50,700,30,0.044276649611985366,0.0
50,750,30,0.053863636760376234,0.0
50,800,30,0.0663068333362519,0.0
50,850,30,0.0861343947399484,0.0
50,900,30,0.11005948028802306,0.0
50,950,30,0.12202204225561039,0.0
50,1000,30,0.14669878734910274,0.0
50,1050,30,0.16832898863920331,0.0
50,1100,30,0.17757696142013543,0.0
50,1150,30,0.2008684698365623,0.0
50,1200,30,0.21811788596176407,0.0
50,1250,30,0.23711182822347834,0.0
50,1300,30,0.2528477223303897,0.0
